"metric","x","value","group","x_unit","unit","definition","fishery","display_name","fishery_name","group_label"
"selectivity",9,3.50761578893382,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",10,2.89596481461708,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",11,2.63804041808501,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",12,2.63804041808501,"Fishery 3","model age class","relative selectivity","Fishery selectivity at age",3,,"3.LL.DWFN.1c","3.LL.DWFN.1c"
"selectivity",1,2.06115362243856e-09,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",2,2.06115362243856e-09,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",3,2.06112797894784e-09,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",4,3.44361157310408e-06,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",5,0.0101109736723569,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",6,0.33362972233082,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",7,1.28302067662463,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",8,2.16634110527751,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",9,2.65736999345073,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",10,2.87497111030192,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",11,2.95945985149344,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",12,2.95945985149344,"Fishery 4","model age class","relative selectivity","Fishery selectivity at age",4,,"4.LL.DWFN.1d","4.LL.DWFN.1d"
"selectivity",1,2.06115362243856e-09,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",2,2.06115362243856e-09,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",3,2.06115362243856e-09,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",4,0.0328349972263532,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",5,0.127613667496974,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",6,0.59565467703312,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",7,1.28670814496716,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",8,1.82348888749557,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",9,2.13615535290007,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",10,2.29360425514564,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",11,2.36589524087418,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",12,2.36589524087418,"Fishery 5","model age class","relative selectivity","Fishery selectivity at age",5,,"5.LL.PICT.1ab","5.LL.PICT.1ab"
"selectivity",1,2.06115362243856e-09,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",2,2.06115362243856e-09,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",3,2.06115362243856e-09,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",4,0.0328349972263532,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",5,0.127613667496974,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",6,0.59565467703312,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",7,1.28670814496716,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",8,1.82348888749557,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",9,2.13615535290007,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",10,2.29360425514564,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",11,2.36589524087418,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",12,2.36589524087418,"Fishery 6","model age class","relative selectivity","Fishery selectivity at age",6,,"6.LL.PICT.1ab","6.LL.PICT.1ab"
"selectivity",1,2.06115362243856e-09,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",2,2.06115362243856e-09,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",3,2.06115362243856e-09,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",4,0.015106787236061,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",5,0.0309305531636651,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",6,0.120476071128716,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",7,0.44141684765083,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",8,1.0669848701385,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
"selectivity",9,1.77681933123719,"Fishery 7","model age class","relative selectivity","Fishery selectivity at age",7,,"7.LL.AZ.1ab","7.LL.AZ.1ab"
