"time","metric","value","unit","group","definition","display_name","model","label","facet"
1984,"dynamic_spawning_depletion",0.69049241617567,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1985,"dynamic_spawning_depletion",0.708591692464076,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1986,"dynamic_spawning_depletion",0.712135144548938,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1987,"dynamic_spawning_depletion",0.698648555471282,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1988,"dynamic_spawning_depletion",0.698009184845006,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1989,"dynamic_spawning_depletion",0.669013746034798,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1990,"dynamic_spawning_depletion",0.646933114643383,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1991,"dynamic_spawning_depletion",0.652935465976331,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1992,"dynamic_spawning_depletion",0.659098094505682,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1993,"dynamic_spawning_depletion",0.658658412827278,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1994,"dynamic_spawning_depletion",0.660218852839636,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1995,"dynamic_spawning_depletion",0.66191003594676,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1996,"dynamic_spawning_depletion",0.674309333846006,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1997,"dynamic_spawning_depletion",0.676980365605958,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1998,"dynamic_spawning_depletion",0.688347751788957,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
1999,"dynamic_spawning_depletion",0.665454981910461,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2000,"dynamic_spawning_depletion",0.664555622199485,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
2001,"dynamic_spawning_depletion",0.6432154304673,"ratio","Native MFCL / INI 1003","Ratio of spawning potential to dynamic unfished spawning potential at the same report census",,"native-1003","dynamic spawning depletion","all"
