"axis","series","bin_unit","bin","variance","predicted","observed","fitted_predicted","lower","upper","unit","n_samples","probability","effective_sample_size","effective_size_type","effective_size_definition","uncertainty","scope","region","group"
"length","F10_R1","cm",129,,0,2.66361875147776,0,,,"count",74,0.95,302.475712404221,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",31,,0,0,0,,,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",33,,0,0,0,,,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",35,,0,0,0,,,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",37,,0,0,0,,,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",39,,0,0,0,,,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",41,,2.38242935728549,0,2.38242935728549,,,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",43,,42.0462360534949,41,42.0462360534949,,,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",45,,315.055035460976,389,315.055035460976,,,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",47,,1166.91676795272,1244,1166.91676795272,,,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",49,234359.303340515,2540.82933230816,2515,2540.82933230816,1591.99762276787,3489.66104184845,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",51,282195.455270603,3600.97372686803,4351,3600.97372686803,2559.80024429702,4642.14720943904,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",53,260474.476089695,3910.63964702863,3681,3910.63964702863,2910.33870544133,4910.94058861593,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",55,258468.092177259,4439.06333420385,3368,4439.06333420385,3442.62240140235,5435.50426700534,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",57,324446.309675788,6938.21245018978,5669,6938.21245018978,5821.81326614058,8054.61163423898,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",59,470029.6194184,11015.9811866329,11540,11015.9811866329,9672.2552370798,12359.707136186,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",61,611841.139307791,13658.4446157604,18397,13658.4446157604,12125.3554006599,15191.5338308609,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",63,543183.421559819,12677.1409319208,15233,12677.1409319208,11232.6282992291,14121.6535646124,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
"length","F11_R1","cm",65,391579.941041392,9667.23576797792,8520,9667.23576797792,8440.76187159026,10893.7096643656,"count",143,0.95,3497,"working","Sum of original square-fita working sample sizes; MFCL information-weight convention","Square-fita working-normal reference range; independent records and fixed within-tail shape","axis/series/bin_unit",,
