"time","axis","series","series_label","record","region","bin","bin_lower","bin_upper","bin_unit","observed","predicted","raw_sample_size","weighting_total","tail_compressed","prediction_scope"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",59,58,60,"cm",0,5.50902710816653e-10,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",61,60,62,"cm",0,7.62816776957066e-10,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",63,62,64,"cm",0,7.16611555258256e-10,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",65,64,66,"cm",0,4.99331588058523e-10,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",67,66,68,"cm",0,1.87534194334335e-08,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",69,68,70,"cm",0,6.43410421238279e-08,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",71,70,72,"cm",0,1.82263684965904e-07,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",73,72,74,"cm",0,4.22779883385027e-07,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",75,74,76,"cm",0,8.01847648824494e-07,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",77,76,78,"cm",0,0.000147655163970604,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",79,78,80,"cm",0,0.000935987163195154,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",81,80,82,"cm",0.00464348680845471,0.00393088928629944,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",83,82,84,"cm",0.00464348680845471,0.00981939234155341,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",85,84,86,"cm",0.0185739472338188,0.0201576390236869,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",87,86,88,"cm",0.0168464020070923,0.0365988304406841,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",89,88,90,"cm",0.0258994209902306,0.0589942609043361,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",91,90,92,"cm",0.0718276829425657,0.0847195568643347,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",93,92,94,"cm",0.0987527852582093,0.108732561188089,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",95,94,96,"cm",0.101656256446925,0.125078920107654,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",97,96,98,"cm",0.0939342765018763,0.12930696837336,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",99,98,100,"cm",0.112917200317345,0.120446120647248,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",101,100,102,"cm",0.191297090036102,0.101340483927759,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",103,102,104,"cm",0.147142835603375,0.0772008432497273,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",105,104,106,"cm",0.0611183583368835,0.0533126101625031,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",107,106,108,"cm",0.0245096127409707,0.0335113235325965,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",109,108,110,"cm",0.013696505791593,0.0191632915233904,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",111,110,112,"cm",0.0125406521761044,0.00987015779540102,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",113,112,114,"cm",0,0.00423979060329081,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",115,114,116,"cm",0,0.00184162438205966,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",117,116,118,"cm",0,0.00056006373636595,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",119,118,120,"cm",0,8.95339782869635e-05,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",121,120,122,"cm",0,0,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",123,122,124,"cm",0,0,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",125,124,126,"cm",0,0,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",127,126,128,"cm",0,0,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.08333333333,"length","F4_R1","Fishery 4  / Region 1","967","Region 1",129,128,130,"cm",0,0,52.7035843303899,0.321363319087743,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",31,30,32,"cm",0,0,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",33,32,34,"cm",0,0,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",35,34,36,"cm",0,0,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",37,36,38,"cm",0,0,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",39,38,40,"cm",0,0,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",41,40,42,"cm",0,5.88475840589451e-11,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",43,42,44,"cm",0,6.25030189456052e-10,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",45,44,46,"cm",0,2.68286681398609e-09,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",47,46,48,"cm",0,4.65396373078056e-09,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",49,48,50,"cm",0,3.26266615264272e-09,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",51,50,52,"cm",0,9.65141787005048e-10,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",53,52,54,"cm",0,2.80827624859139e-10,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",55,54,56,"cm",0,4.70374989679583e-10,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",57,56,58,"cm",0,7.91807082166342e-10,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",59,58,60,"cm",0,8.6084731037379e-10,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",61,60,62,"cm",0,6.44400839002611e-10,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",63,62,64,"cm",0,4.75832530237147e-10,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",65,64,66,"cm",0,5.49155351794942e-10,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",67,66,68,"cm",0,1.79713930225208e-08,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",69,68,70,"cm",0.000115682321416897,5.56081706540749e-08,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",71,70,72,"cm",0,1.41210752987328e-07,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",73,72,74,"cm",0,2.91074574584102e-07,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",75,74,76,"cm",0.000115682321416897,1.23301773067885e-05,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",77,76,78,"cm",0,3.68410185988495e-05,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",79,78,80,"cm",0.000231364642833794,0.000600752484796466,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",81,80,82,"cm",0.00255182303718929,0.00227115851802026,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",83,82,84,"cm",0.00171505757664015,0.00671136948954154,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",85,84,86,"cm",0.0184950033896764,0.0143047824534551,450.955878801903,2.74973096830429,FALSE,"complete"
1990.83333333333,"length","F4_R1","Fishery 4  / Region 1","970","Region 1",87,86,88,"cm",0.0275734768206293,0.0271070869467892,450.955878801903,2.74973096830429,FALSE,"complete"
