"time","metric","group","value","unit","definition","model","label"
2033,"total_biomass","all",2565263.55773906,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2033,"biomass_depletion","all",0.813064711141385,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2033,"fishing_mortality","all",0.0177556411328745,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2033,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2034,"total_biomass","all",2650839.33992296,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2034,"biomass_depletion","all",0.840188102970713,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2034,"fishing_mortality","all",0.0171774924070229,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2034,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2035,"total_biomass","all",2740513.47057683,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2035,"biomass_depletion","all",0.868610473419544,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2035,"fishing_mortality","all",0.016610721818591,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2035,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2036,"total_biomass","all",2793155.48443084,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2036,"biomass_depletion","all",0.88529545054752,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2036,"fishing_mortality","all",0.0162950983305381,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2036,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2037,"total_biomass","all",2846198.74278648,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2037,"biomass_depletion","all",0.902107602812661,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2037,"fishing_mortality","all",0.015988973384292,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2037,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2038,"total_biomass","all",2878996.6017419,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2038,"biomass_depletion","all",0.912502940803252,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2038,"fishing_mortality","all",0.0158053780497294,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2038,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2039,"total_biomass","all",2918230.2722827,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2039,"biomass_depletion","all",0.924938120381211,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2039,"fishing_mortality","all",0.015591220011063,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2039,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2040,"total_biomass","all",2942427.01517186,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2040,"biomass_depletion","all",0.932607319792858,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2040,"fishing_mortality","all",0.0154620108692516,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2040,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2041,"total_biomass","all",2954701.43643434,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2041,"biomass_depletion","all",0.936497718792252,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2041,"fishing_mortality","all",0.015397281526311,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2041,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2042,"total_biomass","all",2969370.11074401,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2042,"biomass_depletion","all",0.941146980426379,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2042,"fishing_mortality","all",0.0153206333710175,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2042,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2043,"total_biomass","all",2978297.40878052,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2043,"biomass_depletion","all",0.943976502943638,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2043,"fishing_mortality","all",0.0152743580199541,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2043,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2044,"total_biomass","all",2978589.92623204,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2044,"biomass_depletion","all",0.944069216854653,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2044,"fishing_mortality","all",0.0152728464623273,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2044,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
2045,"total_biomass","all",2982447.72508384,"t","Illustrative surplus-production total_biomass","fixed-catch-2","fixed-catch 2"
2045,"biomass_depletion","all",0.945291952857596,"ratio","Illustrative surplus-production biomass_depletion","fixed-catch-2","fixed-catch 2"
2045,"fishing_mortality","all",0.0152529395877717,"per year","Illustrative surplus-production fishing_mortality","fixed-catch-2","fixed-catch 2"
2045,"catch","all",45145.9157404822,"t","Illustrative surplus-production catch","fixed-catch-2","fixed-catch 2"
