"time","metric","group","value","unit","definition","initial_state","display_name","coverage","model","label"
2016,"dynamic_spawning_depletion","all",0.476957498262039,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2017,"dynamic_spawning_depletion","all",0.457054786076381,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2018,"dynamic_spawning_depletion","all",0.45144001169523,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2019,"dynamic_spawning_depletion","all",0.434747840377849,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2020,"dynamic_spawning_depletion","all",0.416085411679199,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2021,"dynamic_spawning_depletion","all",0.425443492856604,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,1,"reference","Reference"
2022,"dynamic_spawning_depletion","all",0.457686299223471,"ratio","Spawning potential relative to its dynamic no-fishing counterfactual (SB/SB_F0)",,,0.583333333333258,"reference","Reference"
1954,"total_biomass","Region 1",2039361.12661035,"t","Total biomass at the model's census time",FALSE,,0.916666666666742,"reference","Reference"
1955,"total_biomass","Region 1",1874729.46576711,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1956,"total_biomass","Region 1",1821396.21230671,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1957,"total_biomass","Region 1",1706327.02398951,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1958,"total_biomass","Region 1",1595819.68857567,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1959,"total_biomass","Region 1",1378920.59710219,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1960,"total_biomass","Region 1",1187770.7376817,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1961,"total_biomass","Region 1",1105258.68648542,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1962,"total_biomass","Region 1",1100473.80821485,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1963,"total_biomass","Region 1",1101651.46262553,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1964,"total_biomass","Region 1",981397.487542914,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1965,"total_biomass","Region 1",864534.307071607,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1966,"total_biomass","Region 1",815056.225213189,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1967,"total_biomass","Region 1",740498.631517945,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1968,"total_biomass","Region 1",676018.697432526,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1969,"total_biomass","Region 1",619136.41175074,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1970,"total_biomass","Region 1",565006.294362286,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1971,"total_biomass","Region 1",516966.433141796,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1972,"total_biomass","Region 1",496435.745496179,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1973,"total_biomass","Region 1",542690.142235656,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1974,"total_biomass","Region 1",619637.327406748,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1975,"total_biomass","Region 1",608691.084048956,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1976,"total_biomass","Region 1",574027.106657154,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1977,"total_biomass","Region 1",535435.160015652,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1978,"total_biomass","Region 1",503391.146661936,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1979,"total_biomass","Region 1",497358.54134237,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1980,"total_biomass","Region 1",518448.956272348,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1981,"total_biomass","Region 1",515698.545340038,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1982,"total_biomass","Region 1",503920.092997209,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1983,"total_biomass","Region 1",520166.479654415,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1984,"total_biomass","Region 1",521280.69395483,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1985,"total_biomass","Region 1",492182.562174397,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1986,"total_biomass","Region 1",492487.284388765,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1987,"total_biomass","Region 1",520513.687662273,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1988,"total_biomass","Region 1",546060.687328847,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1989,"total_biomass","Region 1",558239.667945643,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1990,"total_biomass","Region 1",543279.510788608,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1991,"total_biomass","Region 1",591108.150055883,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1992,"total_biomass","Region 1",605952.115568952,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1993,"total_biomass","Region 1",623984.744714606,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1994,"total_biomass","Region 1",662441.592091519,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1995,"total_biomass","Region 1",695047.452931004,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1996,"total_biomass","Region 1",651446.428921371,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1997,"total_biomass","Region 1",620599.391493277,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1998,"total_biomass","Region 1",603819.618561028,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
1999,"total_biomass","Region 1",653564.355863889,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
2000,"total_biomass","Region 1",617636.24925555,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
2001,"total_biomass","Region 1",681605.90189199,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
2002,"total_biomass","Region 1",725557.67974991,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
2003,"total_biomass","Region 1",751244.678158256,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
2004,"total_biomass","Region 1",703435.401208522,"t","Total biomass at the model's census time",FALSE,,1,"reference","Reference"
